Start_push	End_push	Pushes_duration	X	Y	Z	80ArAr(ArAr80Di)	Myelope_276((2967))Y89(Y89Di)	Histone_126((2979))In113(In113Di)	SMA_174((2780))In115(In115Di)	131Xe(Xe131Di)	134Xe(Xe134Di)	136Ba(Ba136Di)	138La(La138Di)	CD16_1820((2945))Pr141(Pr141Di)	CD38_1719((2961))Nd142(Nd142Di)	HLA-DR_1849((2953))Nd143(Nd143Di)	CD27_2231((2946))Nd144(Nd144Di)	CD15_627((2954))Nd145(Nd145Di)	CD45RA_732((2955))Nd146(Nd146Di)	CD163_1863((2947))Sm147(Sm147Di)	Beta-2M_1855((2962))Nd148(Nd148Di)	CD20_36((2980))Sm149(Sm149Di)	CD68_77((2963))Nd150(Nd150Di)	Indolea_2281((2981))Eu151(Eu151Di)	CD3_1841((2941))Sm152(Sm152Di)	LAG-3_1817((2982))Eu153(Eu153Di)	CD11c_2406((2983))Sm154(Sm154Di)	CD279(P_1743((2762))Gd155(Gd155Di)	CD140b(_1938((2948))Gd156(Gd156Di)	CD7_2258((2956))Gd158(Gd158Di)	Granzym_2215((2819))Tb159(Tb159Di)	CD274(B_2298((2949))Gd160(Gd160Di)	TCF1TCF_2221((2984))Dy161(Dy161Di)	CD45RO_2014((2950))Dy162(Dy162Di)	FOXP3_115((2942))Dy163(Dy163Di)	CD278(I_1815((2951))Dy164(Dy164Di)	CD8a_1718((2957))Ho165(Ho165Di)	Carboni_2443((2985))Er166(Er166Di)	CD33_2237((2986))Er167(Er167Di)	Ki-67_142((2965))Er168(Er168Di)	VISTA_2024((2966))Tm169(Tm169Di)	CD40_2255((2821))Er170(Er170Di)	CD4_2293((2943))Yb171(Yb171Di)	CD14_2275((2958))Yb172(Yb172Di)	E-Cadhe_103((2959))Yb173(Yb173Di)	CD303_2313((2952))Yb174(Yb174Di)	CD206(M_324((2960))Lu175(Lu175Di)	cleaved_198((2944))Yb176(Yb176Di)	DNA1(Ir191Di)	DNA2(Ir193Di)	196Pt(Pt196Di)	206Pb(Pb206Di)
675621	675812	192	155	4	2555	8728.032	0.000	7.546	2.041	82.838	38.502	38.621	2.405	0.000	0.000	3.175	0.000	2.989	0.000	3.312	3.537	0.000	1.826	0.000	0.000	0.000	5.546	0.000	6.175	1.000	3.094	2.290	6.531	3.204	0.000	0.000	1.000	1.000	1.443	0.000	0.000	0.000	0.000	2.162	16.174	0.000	1.337	0.000	29.762	55.054	0.000	0.000
675813	676004	192	156	4	2556	7880.973	1.000	2.000	1.207	89.955	33.487	19.118	2.596	2.062	2.000	1.021	0.000	1.057	1.000	0.000	2.566	1.947	2.675	2.840	1.000	0.000	1.000	0.000	2.182	2.000	4.186	0.000	2.552	4.009	3.209	3.843	3.101	0.000	0.000	0.000	0.000	0.000	3.285	7.020	36.909	7.769	0.000	0.000	26.977	55.871	0.000	1.000
676005	676196	192	157	4	2557	7332.325	0.000	6.173	0.000	65.202	25.739	29.243	0.000	1.785	1.000	1.000	3.946	1.000	1.000	1.093	3.850	1.695	7.886	0.000	3.594	0.000	1.462	1.000	4.022	1.926	5.633	0.000	3.069	6.667	1.000	3.824	2.000	1.000	2.394	0.000	0.000	2.685	4.424	2.025	33.789	2.968	0.000	0.000	38.675	60.149	4.980	0.000
676197	676388	192	158	4	2558	7932.625	0.000	6.229	3.000	98.704	37.792	26.741	5.864	2.462	1.820	9.557	0.000	1.710	1.000	0.000	3.821	0.000	1.000	2.998	1.000	0.634	1.271	1.306	3.642	5.746	4.000	1.000	1.617	3.745	0.000	0.000	0.000	1.000	1.000	1.000	3.285	3.808	3.000	6.746	18.278	5.000	0.568	3.082	24.307	68.568	2.349	0.000
676390	676581	192	159	4	2559	8753.775	0.000	7.858	0.000	87.879	39.658	34.838	2.290	0.000	1.000	2.052	2.077	2.554	0.000	1.250	7.291	0.000	1.165	5.701	1.107	0.000	2.797	2.000	1.949	0.000	1.000	1.290	1.000	3.394	1.000	1.000	0.000	2.000	2.460	1.000	4.340	2.000	2.060	4.361	58.584	1.000	0.000	0.000	34.076	42.137	2.000	0.000
676582	676773	192	160	4	2560	8361.518	0.000	6.173	0.000	85.598	28.031	25.037	2.130	0.000	0.000	3.887	0.000	6.347	0.000	0.000	12.642	0.000	4.581	2.000	5.820	2.061	2.289	0.000	2.172	3.215	1.000	0.000	2.940	2.787	0.000	2.084	1.665	0.000	0.000	2.630	0.000	0.000	4.536	4.082	52.267	2.834	0.000	1.943	35.797	60.477	0.000	1.000
676774	676965	192	161	4	2561	7863.008	0.000	6.001	0.000	79.117	32.283	29.772	2.626	2.600	0.000	2.000	1.829	1.000	2.213	0.000	9.579	1.036	5.242	0.000	0.000	0.000	1.907	0.000	1.086	8.040	0.000	0.000	3.330	2.658	1.000	0.000	2.632	2.374	2.640	1.249	1.351	0.000	7.331	10.402	37.449	1.434	0.000	0.000	33.074	54.959	1.000	1.000
676966	677157	192	162	4	2562	8069.561	0.000	0.000	0.000	85.447	42.295	23.923	0.000	0.000	0.000	2.608	0.000	0.000	1.402	0.000	4.539	0.000	3.927	0.000	2.000	0.000	1.081	0.000	0.000	0.000	5.411	2.000	1.649	0.000	0.000	2.052	0.000	0.000	4.789	3.019	3.856	4.337	3.192	7.870	33.081	0.000	3.008	0.000	10.084	25.161	1.736	1.000
677158	677349	192	163	4	2563	8261.050	0.000	1.000	0.000	80.068	45.704	14.540	1.405	1.046	1.000	5.732	0.000	0.000	1.000	1.000	4.098	0.000	1.700	1.000	2.234	0.000	0.000	0.000	2.150	4.017	3.735	1.064	2.005	1.945	1.982	0.000	0.000	2.323	0.000	1.282	2.076	0.000	1.000	5.319	75.074	3.468	2.538	0.000	14.511	30.017	1.000	1.039
677351	677542	192	164	4	2564	8525.943	0.000	0.000	1.035	71.610	48.540	27.366	1.710	1.385	0.000	2.000	0.000	0.000	0.000	0.000	4.725	1.000	2.700	0.000	2.000	2.632	1.017	0.000	1.086	0.000	1.094	0.000	1.000	0.000	2.209	0.000	0.000	1.113	1.509	5.814	10.251	2.156	0.762	3.062	63.696	0.000	1.638	0.000	15.320	6.214	2.297	0.000
677543	677734	192	165	4	2565	8010.570	0.000	0.000	0.000	73.000	38.099	26.617	2.000	0.000	0.000	5.217	0.000	0.000	0.000	2.468	6.040	1.000	3.392	0.000	1.455	1.000	1.589	1.000	1.000	2.156	1.898	5.903	1.000	2.005	0.000	2.247	1.665	0.000	1.000	0.000	2.000	0.000	2.887	8.207	36.916	2.701	0.000	0.000	2.387	5.911	1.000	0.000
677735	677926	192	166	4	2566	8508.827	0.000	0.000	0.000	78.549	34.892	22.705	1.000	0.000	1.000	1.000	1.000	0.000	0.000	0.000	3.978	0.000	1.290	1.000	0.000	0.000	0.000	4.270	1.000	3.499	4.191	1.032	1.000	0.000	1.007	0.000	2.481	1.000	5.149	0.000	1.000	0.000	2.318	3.494	21.679	1.467	1.000	3.283	1.075	4.000	1.736	0.000
677927	678118	192	167	4	2567	8438.683	0.000	0.000	0.000	74.200	42.688	19.836	0.000	0.000	1.000	0.000	0.000	0.000	2.493	0.000	4.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	2.022	0.000	0.000	1.000	1.000	1.551	1.000	0.000	1.012	0.000	1.000	0.197	1.911	1.000	1.821	3.195	10.088	1.000	0.000	0.000	2.387	6.991	2.174	0.000
