4706047775	4706047775
4706047775	3573189919_79_196
4706047775	2632373804_177_299
4706047775	1298531797_77_200
4706047775	636412597_356_475
4706047775	4452646341_348_471
4706047775	3318779648
4706047775	2603693830_362_480
4706047775	3572411709_347_468
1622851798_832_939	1622851798_832_939
1622851798_832_939	5761513631_863_970
1622851798_832_939	1698798071_901_1008
1622851798_832_939	2528879307_181_288
1622851798_832_939	2513384354_74_182
1622851798_832_939	2496112769_763_870
1622851798_832_939	725948761_268_375
1622851798_832_939	376297851_843_950
4497037939_1_144	4497037939_1_144
4497037939_1_144	2536035451_1_130
4497037939_1_144	1500182320
4497037939_1_144	211586000_1_131
4497037939_1_144	1692326086_1_136
1622851798_606_715	1622851798_606_715
1622851798_606_715	5811656415_533_640
1622851798_606_715	3245937428_355_464
1622851798_606_715	2496112769_536_645
209315830_277_400	209315830_277_400
209315830_277_400	948174305_1_133
209315830_277_400	2800964454_266_387
209315830_277_400	1202846640_278_405
1051871553_730_855	1051871553_730_855
1051871553_730_855	2509835009_830_957
1051871553_730_855	929260250_714_839
1421041122_137_244	1421041122_137_244
1421041122_137_244	418442094_47_154
1421041122_137_244	6203428367_59_174
238295054_123_311	238295054_123_311
238295054_123_311	737974801
238295054_123_311	5956867429
1483608472_34_272	1483608472_34_272
1483608472_34_272	3345819814
2269379650_1420_1602	2269379650_1420_1602
2269379650_1420_1602	2593872799_1420_1602
2447034056_1_145	2447034056_1_145
2447034056_1_145	4452647877
2520485171	2520485171
2520485171	880356269_68_184
1186628997	1186628997
844895904	844895904
1559315961	1559315961
1443592979	1443592979
2055177954	2055177954
1793425116	1793425116
2738593697	2738593697
3671680032	3671680032
1083485303	1083485303
843323367	843323367
