PROBEID	ENTREZ	SYMBOL
ILMN_1656934	9185	REPS2
ILMN_1800225	5468	PPARG
ILMN_1660806	1466	CSRP2
ILMN_1719759	3371	TNC
ILMN_1721732	56169	GSDMC
ILMN_1735762	255743	NPNT
ILMN_2189371	22854	NTNG1
ILMN_1791545	25984	KRT23
ILMN_1749368	8357	HIST1H3H
ILMN_1666078	3136	HLA-H
ILMN_1665876	283673	LINC00277
ILMN_2076600	9452	ITM2A
ILMN_1716815	634	CEACAM1
ILMN_1653006	1446	CSN1S1
ILMN_1776967	123872	DNAAF1
ILMN_2219767	4613	MYCN
ILMN_1751400	8631	SKAP1
ILMN_1669983	26166	RGS22
ILMN_2374234	5567	PRKACB
ILMN_1673721	9156	EXO1
ILMN_1743232	84953	MICALCL
ILMN_1781285	1843	DUSP1
ILMN_1727589	6820	SULT2B1
ILMN_1682987	29951	PDZRN4
ILMN_1697377	57730	ANKRD36B
ILMN_2368530	9235	IL32
ILMN_1715463	25928	SOSTDC1
ILMN_1902308	644943	RASSF10
ILMN_1668063	2219	FCN1
ILMN_1767523	55540	IL17RB
ILMN_2233539	64116	SLC39A8
ILMN_1715131	1236	CCR7
ILMN_1688279	79037	PVRIG
ILMN_1805404	2902	GRIN1
ILMN_1830462	64131	XYLT1
ILMN_1678186	50617	ATP6V0A4
ILMN_1723042	1365	CLDN3
ILMN_1673843	1470	CST2
ILMN_1689176	79625	NDNF
ILMN_1760849	81831	NETO2
ILMN_1780700	387036	GUSBP2
ILMN_1749846	4958	OMD
ILMN_2061043	962	CD48
ILMN_1733094	26872	STEAP1
ILMN_1725193	3485	IGFBP2
ILMN_1749875	728715	LOC728715
ILMN_1729851	54959	ODAM
ILMN_2077952	57452	GALNTL1
ILMN_1788166	7272	TTK
ILMN_2189675	646962	HRCT1
ILMN_1757872	157285	SGK223
ILMN_1723520	909	CD1A
ILMN_1684349	3560	IL2RB
ILMN_1715068	366	AQP9
ILMN_2069286	55584	CHRNA9
ILMN_2048414	7366	UGT2B15
ILMN_1741265	1412	CRYBA2
ILMN_1791366	283248	RCOR2
ILMN_1747016	55165	CEP55
ILMN_1843198	205	AK4
ILMN_1719826	441956	LOC441956
ILMN_1792138	7388	UQCRH
ILMN_1813338	3902	LAG3
ILMN_1665671	2056	EPO
ILMN_1694810	56666	PANX2
ILMN_2379599	9332	CD163
ILMN_1665761	64919	BCL11B
ILMN_1768101	3216	HOXB6
ILMN_2082865	51090	PLLP
ILMN_1746565	923	CD6
ILMN_2334210	3691	ITGB4
ILMN_2366642	51481	VCX3A
ILMN_1777564	4085	MAD2L1
ILMN_1796589	9319	TRIP13
ILMN_1724686	9076	CLDN1
ILMN_1783231	58473	PLEKHB1
ILMN_1748281	5602	MAPK10
ILMN_1733333	810	CALML3
ILMN_1798706	1880	GPR183
ILMN_1700887	163589	TDRD5
ILMN_2181593	4100	MAGEA1
ILMN_1711049	9254	CACNA2D2
ILMN_1654639	55008	HERC6
ILMN_1724422	6402	SELL
ILMN_1721113	3107	HLA-C
ILMN_1655614	1832	DSP
ILMN_1682929	54843	SYTL2
ILMN_2342033	50848	F11R
ILMN_1904054	100124700	HOTAIR
ILMN_1779228	1000	CDH2
ILMN_2148785	2633	GBP1
ILMN_2197365	5997	RGS2
ILMN_2110908	4609	MYC
ILMN_2105573	414062	CCL3L3
ILMN_1708107	1805	DPT
ILMN_1655915	4320	MMP11
ILMN_2340259	5142	PDE4B
ILMN_2398408	9338	TCEAL1
ILMN_1790859	219348	PLAC9
ILMN_1739605	27076	LYPD3
ILMN_1752965	26585	GREM1
ILMN_1693090	54677	CROT
ILMN_1746888	26577	PCOLCE2
ILMN_1785071	6414	SEPP1
ILMN_1727078	84299	MIEN1
ILMN_1796337	284340	CXCL17
ILMN_2336094	55714	ODZ3
ILMN_1745963	2350	FOLR2
ILMN_1744023	3480	IGF1R
ILMN_1702197	89958	SAPCD2
ILMN_2198300	64663	SPANXC
ILMN_1663171	4148	MATN3
ILMN_1673941	221662	RBM24
ILMN_2283325	79971	WLS
ILMN_1748283	11040	PIM2
ILMN_1655613	2939	GSTA2
ILMN_1805737	5214	PFKP
ILMN_1690209	440712	C1orf186
ILMN_1752843	2914	GRM4
ILMN_2202915	55711	FAR2
ILMN_1653278	200958	MUC20
ILMN_1728934	9055	PRC1
ILMN_1688959	939	CD27
ILMN_1710434	374403	TBC1D10C
ILMN_1776519	5909	RAP1GAP
ILMN_1657871	91543	RSAD2
ILMN_1805177	80000	GREB1L
ILMN_2227011	23205	ACSBG1
ILMN_1806908	5579	PRKCB
ILMN_1655498	83723	FAM57B
ILMN_1712759	374897	SBSN
ILMN_1819384	56662	VTRNA1-3
ILMN_1710268	79750	ZNF385D
ILMN_1751444	64151	NCAPG
ILMN_1696537	115265	DDIT4L
ILMN_1733831	79605	PGBD5
ILMN_1808391	1846	DUSP4
ILMN_1767113	316	AOX1
ILMN_1777190	1675	CFD
ILMN_2315044	2266	FGG
ILMN_1661443	196996	GRAMD2
ILMN_1730229	84952	CGNL1
ILMN_1673522	55034	MOCOS
ILMN_1658247	4938	OAS1
ILMN_2098446	5366	PMAIP1
ILMN_1671478	1152	CKB
ILMN_1768227	1634	DCN
ILMN_1728132	3945	LDHB
ILMN_1705814	144501	KRT80
ILMN_1680814	1907	EDN2
ILMN_2136089	644314	MT1IP
ILMN_1751016	164832	LONRF2
ILMN_1756755	84894	LINGO1
ILMN_1800130	55224	ETNK2
ILMN_1713550	59352	LGR6
ILMN_1681542	8367	HIST1H4E
ILMN_1711470	29089	UBE2T
ILMN_1762093	94160	ABCC12
ILMN_1690170	1382	CRABP2
ILMN_1810836	8654	PDE5A
ILMN_2179717	9413	FAM189A2
ILMN_1713561	24141	LAMP5
ILMN_2148469	65997	RASL11B
ILMN_1708508	22843	PPM1E
ILMN_1814270	8581	LY6D
ILMN_1669631	2743	GLRB
ILMN_2222008	3833	KIFC1
ILMN_1696466	83853	ROPN1L
ILMN_1728197	7122	CLDN5
ILMN_1690040	7108	TM7SF2
ILMN_1795839	51097	SCCPDH
ILMN_1713449	6926	TBX3
ILMN_2118663	2086	ERV3-1
ILMN_1747227	134	ADORA1
ILMN_1685122	1298	COL9A2
ILMN_1783287	57402	S100A14
ILMN_1786444	4023	LPL
ILMN_2093343	51316	PLAC8
ILMN_1749834	388588	LOC388588
ILMN_2184612	79669	C3orf52
ILMN_2198878	8821	INPP4B
ILMN_1776936	163782	KANK4
ILMN_1805842	2273	FHL1
ILMN_1738707	6284	S100A13
ILMN_1735877	2202	EFEMP1
ILMN_1695687	57167	SALL4
ILMN_1789007	341	APOC1
ILMN_2234187	1036	CDO1
ILMN_1742534	1287	COL4A5
ILMN_1784217	6665	SOX15
ILMN_1667791	8497	PPFIA4
ILMN_1674811	8638	OASL
ILMN_2163723	3855	KRT7
ILMN_1809456	1271	CNTFR
ILMN_1791494	171024	SYNPO2
ILMN_1702125	3217	HOXB7
ILMN_1653412	84839	RAX2
ILMN_1652065	3779	KCNMB1
ILMN_1709237	2053	EPHX2
ILMN_1721170	9687	GREB1
ILMN_1712583	79006	METRN
ILMN_2111187	79071	ELOVL6
ILMN_1663399	7079	TIMP4
ILMN_1685916	11004	KIF2C
ILMN_1742444	7365	UGT2B10
ILMN_2184525	220115	TPTE2P3
ILMN_1758392	56899	ANKS1B
ILMN_2361400	26154	ABCA12
ILMN_1731233	2999	GZMH
ILMN_2285996	9768	KIAA0101
ILMN_2408572	6038	RNASE4
ILMN_1772036	79689	STEAP4
ILMN_2383306	54865	GPATCH4
ILMN_1798975	1956	EGFR
ILMN_1775829	64065	PERP
ILMN_1739683	23639	LRRC6
ILMN_1768973	8338	HIST2H2AC
ILMN_1677814	8714	ABCC3
ILMN_1672776	1300	COL10A1
ILMN_1717207	64386	MMP25
ILMN_1801077	123	PLIN2
ILMN_2188333	969	CD69
ILMN_1696054	150572	SMYD1
ILMN_1711573	10225	CD96
ILMN_2202940	56994	CHPT1
ILMN_2079655	3820	KLRB1
ILMN_1806607	2810	SFN
ILMN_2322996	2139	EYA2
ILMN_1692056	9955	HS3ST3A1
ILMN_1716465	116362	RBP7
ILMN_1729749	51191	HERC5
ILMN_1791123	7113	TMPRSS2
ILMN_1806710	83715	ESPN
ILMN_1655867	57110	HRASLS
ILMN_1666109	4151	MB
ILMN_1807423	10643	IGF2BP3
ILMN_1720048	6347	CCL2
ILMN_1748983	57142	RTN4
ILMN_1659206	5914	RARA
ILMN_1698733	254263	CNIH2
ILMN_1672124	51313	FAM198B
ILMN_1680390	2651	GCNT2
ILMN_2239754	3437	IFIT3
ILMN_2112638	79987	SVEP1
ILMN_1775405	10124	ARL4A
ILMN_2198408	56947	MFF
ILMN_1691743	125111	GJD3
ILMN_1726666	2878	GPX3
ILMN_1809817	222256	CDHR3
ILMN_1741727	25797	QPCT
ILMN_1758418	10673	TNFSF13B
ILMN_1762899	1958	EGR1
ILMN_1777691	132946	ARL9
ILMN_1759954	5757	PTMA
ILMN_1679482	7278	TUBA3C
ILMN_2319000	4145	MATK
ILMN_2146418	51232	CRIM1
ILMN_1660864	9028	RHBDL1
ILMN_1720282	1728	NQO1
ILMN_1655710	6230	RPS25
ILMN_1691071	84824	FCRLA
ILMN_1796801	10351	ABCA8
ILMN_2090802	84283	TMEM79
ILMN_1781388	5239	PGM5
ILMN_2306540	5152	PDE9A
ILMN_2219712	3148	HMGB2
ILMN_1708983	55259	CASC1
ILMN_1764109	715	C1R
ILMN_2141118	388135	C15orf59
ILMN_1762861	3134	HLA-F
ILMN_1766637	2717	GLA
ILMN_2415776	51741	WWOX
ILMN_1731503	8685	MARCO
ILMN_1707124	7035	TFPI
ILMN_1849013	3572	IL6ST
ILMN_1716859	6999	TDO2
ILMN_1784655	116238	TLCD1
ILMN_1740917	6338	SCNN1B
ILMN_2138801	8626	TP63
ILMN_2403247	112616	CMTM7
ILMN_1765796	2026	ENO2
ILMN_1786125	890	CCNA2
ILMN_1809099	90865	IL33
ILMN_1778991	4781	NFIB
ILMN_1738150	6613	SUMO2
ILMN_1913678	11213	IRAK3
ILMN_1692698	79805	VASH2
ILMN_2199389	7433	VIPR1
ILMN_1666305	1033	CDKN3
ILMN_1723227	2248	FGF3
ILMN_1777453	256933	NPB
ILMN_1808249	83661	MS4A8B
ILMN_1705750	7052	TGM2
ILMN_1741603	1620	DBC1
ILMN_1796074	494514	C18orf56
ILMN_1805466	6662	SOX9
ILMN_1719755	84467	FBN3
ILMN_2312194	1528	CYB5A
ILMN_1787265	84858	ZNF503
ILMN_1653200	51310	SLC22A17
ILMN_2203271	2359	FPR3
ILMN_2327994	51582	AZIN1
ILMN_2213136	51176	LEF1
ILMN_1671766	2161	F12
ILMN_2041190	2150	F2RL1
ILMN_2137789	9314	KLF4
ILMN_1769264	64087	MCCC2
ILMN_2399300	89797	NAV2
ILMN_1711514	1690	COCH
ILMN_1686811	5478	PPIA
ILMN_1737918	712	C1QA
ILMN_2397646	2823	GPM6A
ILMN_2367258	54498	SMOX
ILMN_1718898	3225	HOXC9
ILMN_2415421	7780	SLC30A2
ILMN_1673673	55872	PBK
ILMN_2175112	3790	KCNS3
ILMN_1777342	57580	PREX1
ILMN_1803219	147798	TMC4
ILMN_2057479	25975	EGFL6
ILMN_1809590	51659	GINS2
ILMN_1709257	53820	DSCR6
ILMN_1789096	200931	OSTalpha
ILMN_1893633	439949	LOC439949
ILMN_1713846	57460	PPM1H
ILMN_1758523	21	ABCA3
ILMN_2409220	3161	HMMR
ILMN_1667948	132671	SPATA18
ILMN_1805104	18	ABAT
ILMN_1766405	51280	GOLM1
ILMN_1707137	400566	C17orf97
ILMN_1684158	84706	GPT2
ILMN_1666545	2650	GCNT1
ILMN_1799106	64757	MARC1
ILMN_1709634	134147	CMBL
ILMN_1808114	10894	LYVE1
ILMN_1737992	1384	CRAT
ILMN_1671402	10777	ARPP21
ILMN_2087941	956	ENTPD3
ILMN_2326712	25825	BACE2
ILMN_2139035	64921	CASD1
ILMN_1719170	155368	WBSCR27
ILMN_1728844	5799	PTPRN2
ILMN_1745849	957	ENTPD5
ILMN_1789600	340204	CLPSL1
ILMN_1789244	30812	SOX8
ILMN_1764861	51015	ISOC1
ILMN_1722670	66004	LYNX1
ILMN_1743199	1959	EGR2
ILMN_1662587	375775	PNPLA7
ILMN_1908918	100505705	SDIM1
ILMN_2412384	9134	CCNE2
ILMN_1741021	9023	CH25H
ILMN_2221006	5885	RAD21
ILMN_1690289	53905	DUOX1
ILMN_1651237	81620	CDT1
ILMN_2188966	3483	IGFALS
ILMN_2337923	7164	TPD52L1
ILMN_1715684	3914	LAMB3
ILMN_2083469	8660	IRS2
ILMN_1797776	11098	PRSS23
ILMN_1786065	29128	UHRF1
ILMN_1765363	1825	DSC3
ILMN_1717163	2162	F13A1
ILMN_1727098	26051	PPP1R16B
ILMN_1682599	9052	GPRC5A
ILMN_2366192	2267	FGL1
ILMN_1776678	168537	GIMAP7
ILMN_1736096	10683	DLL3
ILMN_1662358	4599	MX1
ILMN_1764364	284467	FAM19A3
ILMN_2188264	3491	CYR61
ILMN_1699695	27242	TNFRSF21
ILMN_1815023	5292	PIM1
ILMN_2388547	94240	EPSTI1
ILMN_1810835	6707	SPRR3
ILMN_1689111	6387	CXCL12
ILMN_1665792	3673	ITGA2
ILMN_1787526	84281	C2orf88
ILMN_1658375	642976	GRIK1-AS1
ILMN_1804593	253012	HEPACAM2
ILMN_1736042	4199	ME1
ILMN_1707339	10950	BTG3
ILMN_1777565	6891	TAP2
ILMN_1726720	51203	NUSAP1
ILMN_1775170	4501	MT1X
ILMN_2214473	445328	ARHGEF35
ILMN_1763390	3670	ISL1
ILMN_1677765	7804	LRP8
ILMN_1775285	344905	ATP13A5
ILMN_1677567	1833	EPYC
ILMN_1668426	246777	SPESP1
ILMN_1737255	388886	FAM211B
ILMN_1780799	5168	ENPP2
ILMN_2317923	54972	TMEM132A
ILMN_1808590	2982	GUCY1A3
ILMN_1713744	56967	C14orf132
ILMN_1806037	7083	TK1
ILMN_1701483	6855	SYP
ILMN_2105960	113220	KIF12
ILMN_1761314	9054	NFS1
ILMN_1668039	2995	GYPC
ILMN_1714600	89795	NAV3
ILMN_1764321	122970	ACOT4
ILMN_1720526	55839	CENPN
ILMN_1716359	80704	SLC19A3
ILMN_1795257	2875	GPT
ILMN_1739690	10886	NPFFR2
ILMN_1739375	90070	LACRT
ILMN_1808395	9744	ACAP1
ILMN_2410929	9060	PAPSS2
ILMN_1679920	6206	RPS12
ILMN_1736939	7357	UGCG
ILMN_1797975	2833	CXCR3
ILMN_2115991	7138	TNNT1
ILMN_2266948	81539	SLC38A1
ILMN_1746801	57530	CGN
ILMN_1768004	27250	PDCD4
ILMN_1757631	79007	DBNDD1
ILMN_1787378	120	ADD3
ILMN_1655611	128553	TSHZ2
ILMN_1785413	9914	ATP2C2
ILMN_1772588	80129	C6orf97
ILMN_2338323	994	CDC25B
ILMN_1812702	6495	SIX1
ILMN_1790778	10687	PNMA2
ILMN_1681310	84179	MFSD7
ILMN_1735438	2824	GPM6B
ILMN_1778444	2289	FKBP5
ILMN_1659610	27134	TJP3
ILMN_1663873	4322	MMP13
ILMN_1789639	2331	FMOD
ILMN_1772241	6713	SQLE
ILMN_1751569	127254	C1orf173
ILMN_1814701	1297	COL9A1
ILMN_2170949	29887	SNX10
ILMN_1810000	8608	RDH16
ILMN_1729188	57817	HAMP
ILMN_1696587	53353	LRP1B
ILMN_1773337	22943	DKK1
ILMN_1892403	692084	SNORD13
ILMN_1719599	94121	SYTL4
ILMN_1757807	64850	AGXT2L1
ILMN_1730291	481	ATP1B1
ILMN_1716019	162494	RHBDL3
ILMN_1792538	924	CD7
ILMN_1679217	90362	FAM110B
ILMN_1683470	135932	TMEM139
ILMN_1667906	10002	NR2E3
ILMN_1743402	51804	SIX4
ILMN_1798006	148741	ANKRD35
ILMN_1763834	333	APLP1
ILMN_2352090	55890	GPRC5C
ILMN_1680652	8991	SELENBP1
ILMN_1696419	2040	STOM
ILMN_2364062	10189	ALYREF
ILMN_1710124	152189	CMTM8
ILMN_1719975	3221	HOXC4
ILMN_1677092	2669	GEM
ILMN_1862521	163486	DENND1B
ILMN_2137208	127845	GOLT1A
ILMN_1763487	1493	CTLA4
ILMN_2130525	27075	TSPAN13
ILMN_1807372	135	ADORA2A
ILMN_1690105	6772	STAT1
ILMN_1745079	23321	TRIM2
ILMN_1672417	5790	PTPRCAP
ILMN_1791890	10418	SPON1
ILMN_2091310	55107	ANO1
ILMN_1663080	3955	LFNG
ILMN_1724424	112476	PRRT2
ILMN_1681301	9447	AIM2
ILMN_1694514	79844	ZDHHC11
ILMN_1749792	10580	SORBS1
ILMN_1811779	158295	MGC24103
ILMN_1717702	89822	KCNK17
ILMN_2341067	57502	NLGN4X
ILMN_1688480	595	CCND1
ILMN_1762712	3087	HHEX
ILMN_2353862	83450	LRRC48
ILMN_1680453	81618	ITM2C
ILMN_1787186	4856	NOV
ILMN_2214355	27314	RAB30
ILMN_1784985	285368	PRRT3
ILMN_2354547	7991	TUSC3
ILMN_1751228	55321	TMEM74B
ILMN_1806040	7298	TYMS
ILMN_1696187	5836	PYGL
ILMN_1784630	9920	KBTBD11
ILMN_2413331	84314	TMEM107
ILMN_2300664	8911	CACNA1I
ILMN_1726388	414149	ACBD7
ILMN_1713124	8644	AKR1C3
ILMN_1746846	9654	TTLL4
ILMN_1763433	114088	TRIM9
ILMN_1729075	5746	PTH2R
ILMN_2316236	84525	HOPX
ILMN_1780283	198437	C20orf201
ILMN_1744118	23245	ASTN2
ILMN_1651343	22801	ITGA11
ILMN_1759232	3667	IRS1
ILMN_1729374	2109	ETFB
ILMN_1653856	84959	UBASH3B
ILMN_1770800	127435	PODN
ILMN_2152502	389538	MGC72080
ILMN_1700337	10024	TROAP
ILMN_1680110	10974	C10orf116
ILMN_1698846	6543	SLC8A2
ILMN_1667692	5740	PTGIS
ILMN_1685714	3625	INHBB
ILMN_1732410	220963	SLC16A9
ILMN_1695475	10512	SEMA3C
ILMN_1795845	64377	CHST8
ILMN_2230025	27295	PDLIM3
ILMN_1729691	9120	SLC16A6
ILMN_1705153	4744	NEFH
ILMN_2362549	11130	ZWINT
ILMN_1731206	85409	NKD2
ILMN_1801584	7852	CXCR4
ILMN_1796537	2533	FYB
ILMN_1680937	8347	HIST1H2BC
ILMN_1780349	10216	PRG4
ILMN_1793241	6715	SRD5A1
ILMN_1745623	283229	EFCAB4A
ILMN_1718671	10804	GJB6
ILMN_1658809	124925	SEZ6
ILMN_1745154	84612	PARD6B
ILMN_1787461	864	RUNX3
ILMN_1663037	57689	LRRC4C
ILMN_1717173	1894	ECT2
ILMN_1701753	3190	HNRNPK
ILMN_1741688	119587	CPXM2
ILMN_1665943	11184	MAP4K1
ILMN_2246956	596	BCL2
ILMN_1707551	125061	AFMID
ILMN_1732143	100287569	LINC00173
ILMN_1768284	286530	P2RY8
ILMN_1771728	11264	PXMP4
ILMN_2410612	1755	DMBT1
ILMN_2352023	25778	DSTYK
ILMN_1700081	10468	FST
ILMN_2376263	6594	SMARCA1
ILMN_1661595	388722	C1orf53
ILMN_1763891	284297	SSC5D
ILMN_1685761	140870	WFDC6
ILMN_1685834	273	AMPH
ILMN_2132599	118932	ANKRD22
ILMN_1808405	3117	HLA-DQA1
ILMN_1727091	130013	ACMSD
ILMN_1785444	93273	LEMD1
ILMN_2120982	440138	ALG11
ILMN_1711888	23242	COBL
ILMN_1773114	2897	GRIK1
ILMN_1652490	54682	MANSC1
ILMN_1755974	230	ALDOC
ILMN_1775501	3553	IL1B
ILMN_1779258	5230	PGK1
ILMN_1699772	58528	RRAGD
ILMN_1670353	10635	RAD51AP1
ILMN_1740923	113278	SLC52A3
ILMN_2109416	256236	NAPSB
ILMN_1772074	352909	C19orf51
ILMN_1656920	1396	CRIP1
ILMN_2359800	64231	MS4A6A
ILMN_1808011	115572	FAM46B
ILMN_1713266	54855	FAM46C
ILMN_1691476	4638	MYLK
ILMN_1811598	125	ADH1B
ILMN_1773245	6349	CCL3L1
ILMN_2116299	79927	FAM110D
ILMN_1744949	22836	RHOBTB3
ILMN_1672605	222166	C7orf41
ILMN_2183692	254295	PHYHD1
ILMN_2361737	55521	TRIM36
ILMN_1678170	4311	MME
ILMN_2219683	129807	NEU4
ILMN_1740559	2155	F7
ILMN_1776181	330	BIRC3
ILMN_1760414	13	AADAC
ILMN_1754103	5010	CLDN11
ILMN_1670959	1048	CEACAM5
ILMN_1774874	3557	IL1RN
ILMN_1683234	64215	DNAJC1
ILMN_2235851	93082	NEURL3
ILMN_1813295	55885	LMO3
ILMN_1657295	57094	CPA6
ILMN_2140559	10265	IRX5
ILMN_1729563	7358	UGDH
ILMN_1819608	408	ARRB1
ILMN_1701947	2857	GPR34
ILMN_2382505	5002	SLC22A18
ILMN_1811472	9493	KIF23
ILMN_1657111	113146	AHNAK2
ILMN_1676663	4982	TNFRSF11B
ILMN_1806456	80127	C14orf45
ILMN_2297765	3778	KCNMA1
ILMN_2219466	9582	APOBEC3B
ILMN_1669046	94234	FOXQ1
ILMN_2139970	220	ALDH1A3
ILMN_1660793	124222	PAQR4
ILMN_1775587	415117	STX19
ILMN_2294978	283	ANG
ILMN_1775448	5217	PFN2
ILMN_1757387	7345	UCHL1
ILMN_1688666	8345	HIST1H2BH
ILMN_1810025	29986	SLC39A2
ILMN_2330787	122786	FRMD6
ILMN_1677719	8534	CHST1
ILMN_1699160	3702	ITK
ILMN_1751851	51816	CECR1
ILMN_1712112	1827	RCAN1
ILMN_1756022	8336	HIST1H2AM
ILMN_1736054	10923	SUB1
ILMN_1739576	51700	CYB5R2
ILMN_1667716	84336	TMEM101
ILMN_1761999	199920	C1orf168
ILMN_1755926	1622	DBI
ILMN_1767556	11067	C10orf10
ILMN_1788942	124975	GGT6
ILMN_1724295	6173	RPL36A
ILMN_2179083	84171	LOXL4
ILMN_2331729	51127	TRIM17
ILMN_1791511	55365	TMEM176A
ILMN_1665257	9699	RIMS2
ILMN_1712305	79901	CYBRD1
ILMN_1775965	57718	PPP4R4
ILMN_1803691	9048	ARTN
ILMN_1684571	89765	RSPH1
ILMN_1774350	91977	MYOZ3
ILMN_1815719	5336	PLCG2
ILMN_2193325	8510	MMP23B
ILMN_2049766	9603	NFE2L3
ILMN_1760062	10561	IFI44
ILMN_1717052	10809	STARD10
ILMN_1740633	5551	PRF1
ILMN_1716246	2487	FRZB
ILMN_1803256	56977	STOX2
ILMN_1731433	26	ABP1
ILMN_2267535	10276	NET1
ILMN_1901419	26824	RNU11
ILMN_1775330	388115	C15orf52
ILMN_1802615	1021	CDK6
ILMN_1772869	140862	ISM1
ILMN_1705570	55506	H2AFY2
ILMN_1678238	257101	ZNF683
ILMN_1865056	100134361	LOC100134361
ILMN_1803788	3958	LGALS3
ILMN_2224103	9061	PAPSS1
ILMN_1797735	81563	C1orf21
ILMN_1679826	8530	CST7
ILMN_1880280	100506815	FOXP1-IT1
ILMN_2125395	84873	GPR128
ILMN_2412380	8848	TSC22D1
ILMN_1769155	1558	CYP2C8
ILMN_1653161	6623	SNCG
ILMN_1741346	2049	EPHB3
ILMN_1745397	4940	OAS3
ILMN_1712999	8972	MGAM
ILMN_1684554	1307	COL16A1
ILMN_1661577	389692	MAFA
ILMN_2387471	80164	FLJ22184
ILMN_1710303	83538	TTC25
ILMN_2174805	146894	CD300LG
ILMN_1669927	29851	ICOS
ILMN_1674817	79762	C1orf115
ILMN_1778755	9865	TRIL
ILMN_2153837	6340	SCNN1G
ILMN_1776653	6322	SCML1
ILMN_1709294	55143	CDCA8
ILMN_1805765	202333	CMYA5
ILMN_1676159	51765	MST4
ILMN_2165867	1717	DHCR7
ILMN_1781256	7044	LEFTY2
ILMN_1660654	157313	CDCA2
ILMN_1746769	50487	PLA2G3
ILMN_2174369	60481	ELOVL5
ILMN_2122103	2113	ETS1
ILMN_1721167	4661	MYT1
ILMN_1782938	117247	SLC16A10
ILMN_1810725	116496	FAM129A
ILMN_1660661	6950	TCP1
ILMN_1712803	891	CCNB1
ILMN_1756326	1164	CKS2
ILMN_2103024	83758	RBP5
ILMN_2058782	3429	IFI27
ILMN_2170930	161497	STRC
ILMN_1708105	2146	EZH2
ILMN_1795484	5225	PGC
ILMN_1808508	4254	KITLG
ILMN_1705676	56246	MRAP
ILMN_2212878	11082	ESM1
ILMN_2124155	23200	ATP11B
ILMN_1752932	10205	MPZL2
ILMN_1733559	100008589	RN28S1
ILMN_2153485	349565	NMNAT3
ILMN_2316918	53354	PANK1
ILMN_1692261	2047	EPHB1
ILMN_1718488	79258	MMEL1
ILMN_1657796	3925	STMN1
ILMN_1681263	27290	SPINK4
ILMN_1671557	7262	PHLDA2
ILMN_2062714	5729	PTGDR
ILMN_1753111	10135	NAMPT
ILMN_1702447	10644	IGF2BP2
ILMN_2319424	8908	GYG2
ILMN_1730223	80352	RNF39
ILMN_1696615	767	CA8
ILMN_2133205	2877	GPX2
ILMN_1755234	54961	SSH3
ILMN_1654598	79781	IQCA1
ILMN_1711853	9862	MED24
ILMN_1754795	2195	FAT1
ILMN_2051731	574029	DUSP5P
ILMN_1891067	3756	KCNH1
ILMN_1742618	54739	XAF1
ILMN_1912737	28996	HIPK2
ILMN_1696911	2495	FTH1
ILMN_1751776	150468	CKAP2L
ILMN_2368718	79019	CENPM
ILMN_2381064	7163	TPD52
ILMN_1802106	60489	APOBEC3G
ILMN_1797744	51673	TPPP3
ILMN_1687556	92196	DAPL1
ILMN_1700583	79755	ZNF750
ILMN_1686679	58499	ZNF462
ILMN_1809259	54979	HRASLS2
ILMN_1674063	4939	OAS2
ILMN_1704418	2297	FOXD1
ILMN_1785202	6775	STAT4
ILMN_2382309	9623	TCL1B
ILMN_1693771	444	ASPH
ILMN_1773959	81849	ST6GALNAC5
ILMN_2411781	6261	RYR1
ILMN_1698766	29108	PYCARD
ILMN_1769782	54900	LAX1
ILMN_1735764	3357	HTR2B
ILMN_1682781	8463	TEAD2
ILMN_1808824	10529	NEBL
ILMN_1777519	3695	ITGB7
ILMN_1801377	222962	SLC29A4
ILMN_2230016	25994	HIGD1A
ILMN_1768483	3777	KCNK3
ILMN_2207328	25941	TPGS2
ILMN_1796409	713	C1QB
ILMN_2344221	150084	IGSF5
ILMN_2347592	4828	NMB
ILMN_1690703	388815	LINC00478
ILMN_2223056	347853	TBX10
ILMN_1719069	121643	FOXN4
ILMN_1730998	7105	TSPAN6
ILMN_1849494	22979	EFR3B
ILMN_1780533	6039	RNASE6
ILMN_2333670	6035	RNASE1
ILMN_2273572	127700	OSCP1
ILMN_1730117	79838	TMC5
ILMN_1783593	6357	CCL13
ILMN_1778844	57795	FAM5B
ILMN_1797822	23231	SEL1L3
ILMN_1735502	220382	FAM181B
ILMN_1657708	11343	MGLL
ILMN_2275248	9718	ECE2
ILMN_1704154	55504	TNFRSF19
ILMN_1696767	387923	SERP2
ILMN_1806721	2206	MS4A2
ILMN_1703906	55355	HJURP
ILMN_1801313	6478	SIAH2
ILMN_2148944	196883	ADCY4
ILMN_2148527	283120	H19
ILMN_1782004	579	NKX3-2
ILMN_1800317	7474	WNT5A
ILMN_2224657	346689	KLRG2
ILMN_1709681	2562	GABRB3
ILMN_1711171	148327	CREB3L4
ILMN_1698100	303	ANXA2P1
ILMN_1802053	7644	ZNF91
ILMN_1709486	8406	SRPX
ILMN_1755354	51087	YBX2
ILMN_2078599	54	ACP5
ILMN_1657347	50512	PODXL2
ILMN_1749636	79962	DNAJC22
ILMN_1710544	5099	PCDH7
ILMN_1687978	22822	PHLDA1
ILMN_1680251	114815	SORCS1
ILMN_1803647	26355	FAM162A
ILMN_1684795	23627	PRND
ILMN_1716843	54898	ELOVL2
ILMN_1748591	4953	ODC1
