PROBEID	ENTREZ	SYMBOL
ILMN_1751607	2354	FOSB
ILMN_1782015	127943	FCRLB
ILMN_1682015	51083	GAL
ILMN_1730054	2952	GSTT1
ILMN_1762561	8399	PLA2G10
ILMN_1676631	10309	CCNO
ILMN_1668593	3263	HPX
ILMN_1685387	5284	PIGR
ILMN_1653750	6663	SOX10
ILMN_1656310	3620	IDO1
ILMN_1769129	6363	CCL19
ILMN_1725417	4753	NELL2
ILMN_1764271	30010	NXPH1
ILMN_1757497	7425	VGF
ILMN_2314169	5744	PTHLH
ILMN_1786197	7025	NR2F1
ILMN_2384857	10202	DHRS2
ILMN_1736670	5507	PPP1R3C
ILMN_1688228	145837	LOC145837
ILMN_1758497	57348	TTYH1
ILMN_1770678	84733	CBX2
ILMN_1692938	29968	PSAT1
ILMN_1794707	80162	ATHL1
ILMN_1656369	56892	C8orf4
ILMN_1759563	56675	NRIP3
ILMN_2393149	247	ALOX15B
ILMN_1713813	644945	KRT16P3
ILMN_2297626	23089	PEG10
ILMN_2347193	55876	GSDMB
ILMN_1765310	140597	TCEAL2
ILMN_1671392	3754	KCNF1
ILMN_1718552	10563	CXCL13
ILMN_1659631	440905	LOC440905
ILMN_1717477	23362	PSD3
ILMN_1682326	5121	PCP4
ILMN_1723684	2532	DARC
ILMN_1812073	525	ATP6V1B1
ILMN_1667162	4824	NKX3-1
ILMN_2404850	9045	RPL14
ILMN_1889011	2849	GPR26
ILMN_1751120	8365	HIST1H4H
ILMN_1766551	1359	CPA3
ILMN_1745688	3242	HPD
ILMN_1677108	92291	CAPN13
ILMN_1811632	2330	FMO5
ILMN_1745501	7802	DNALI1
ILMN_1723443	4036	LRP2
ILMN_2091632	1548	CYP2A6
ILMN_1785570	203328	SUSD3
ILMN_1777971	376412	RNF126P1
ILMN_1773623	3292	HSD17B1
ILMN_1662795	760	CA2
ILMN_1775235	3899	AFF3
ILMN_1767129	6833	ABCC8
ILMN_1808657	2328	FMO3
ILMN_1676822	84417	C2orf40
ILMN_2125346	94025	MUC16
ILMN_2216637	55351	STK32B
ILMN_1806754	2731	GLDC
ILMN_2376194	816	CAMK2B
ILMN_1725912	43849	KLK12
ILMN_1791095	256394	SERPINA11
ILMN_1792323	3067	HDC
ILMN_1712913	90249	UNC5A
ILMN_1757099	79949	C10orf81
ILMN_1690993	63973	NEUROG2
ILMN_1729476	58503	PROL1
ILMN_1704294	1001	CDH3
ILMN_1814327	185	AGTR1
ILMN_1758164	6781	STC1
ILMN_1750394	25800	SLC39A6
ILMN_1661895	51050	PI15
ILMN_1734878	973	CD79A
ILMN_1663640	4128	MAOA
ILMN_2212999	3800	KIF5C
ILMN_1805228	116844	LRG1
ILMN_1763837	290	ANPEP
ILMN_1738401	2296	FOXC1
ILMN_1791726	10381	TUBB3
ILMN_1664855	81706	PPP1R14C
ILMN_1796316	4318	MMP9
ILMN_1776724	130574	LYPD6
ILMN_1808677	7367	UGT2B17
ILMN_1729216	1410	CRYAB
ILMN_1755741	1602	DACH1
ILMN_1808713	3294	HSD17B2
ILMN_2131293	200810	ALG1L
ILMN_1788184	1149	CIDEA
ILMN_1794844	7069	THRSP
ILMN_1680424	1511	CTSG
ILMN_1793572	391267	ANKRD20A11P
ILMN_1811014	5241	PGR
ILMN_2197128	130497	OSR1
ILMN_1806603	55897	MESP1
ILMN_2304512	6288	SAA1
ILMN_2372543	163720	CYP4Z2P
ILMN_1653494	6271	S100A1
ILMN_1699989	149428	BNIPL
ILMN_1678086	90557	CCDC74A
ILMN_1658917	6505	SLC1A1
ILMN_1671263	8912	CACNA1H
ILMN_1731785	5005	ORM2
ILMN_1815205	4069	LYZ
ILMN_1727360	4129	MAOB
ILMN_2227757	56133	PCDHB2
ILMN_1747546	10103	TSPAN1
ILMN_1713397	342897	NCCRP1
ILMN_1660727	59084	ENPP5
ILMN_2120555	107	ADCY1
ILMN_1718866	389336	C5orf46
ILMN_2313378	9576	SPAG6
ILMN_2109489	3002	GZMB
ILMN_2193233	51237	MZB1
ILMN_1731062	4852	NPY
ILMN_1686097	7153	TOP2A
ILMN_2113470	2938	GSTA1
