#FID	IID
HG04063	HG04063
HG04090	HG04090
HG04099	HG04099
HG04131	HG04131
HG04146	HG04146
HG04158	HG04158
HG04171	HG04171
HG04182	HG04182
HG04189	HG04189
HG04202	HG04202
HG04212	HG04212
HG04225	HG04225
HG04239	HG04239
NA06994	NA06994
NA07056	NA07056
NA11829	NA11829
NA11843	NA11843
NA11918	NA11918
NA11932	NA11932
NA12003	NA12003
NA12044	NA12044
NA12154	NA12154
NA12272	NA12272
NA12286	NA12286
NA12347	NA12347
NA12413	NA12413
NA12717	NA12717
NA12751	NA12751
NA12775	NA12775
NA12813	NA12813
NA12829	NA12829
NA12873	NA12873
NA18486	NA18486
NA18501	NA18501
NA18508	NA18508
NA18519	NA18519
NA18526	NA18526
NA18533	NA18533
NA18538	NA18538
NA18544	NA18544
NA18549	NA18549
NA18557	NA18557
NA18562	NA18562
NA18567	NA18567
NA18574	NA18574
NA18592	NA18592
NA18599	NA18599
NA18608	NA18608
NA18613	NA18613
NA18618	NA18618
NA18623	NA18623
NA18628	NA18628
NA18633	NA18633
NA18638	NA18638
NA18643	NA18643
NA18648	NA18648
NA18749	NA18749
NA18861	NA18861
NA18870	NA18870
NA18877	NA18877
NA18908	NA18908
NA18916	NA18916
NA18934	NA18934
NA18943	NA18943
NA18948	NA18948
NA18953	NA18953
NA18960	NA18960
NA18965	NA18965
NA18970	NA18970
NA18975	NA18975
NA18980	NA18980
NA18985	NA18985
NA18990	NA18990
NA18995	NA18995
NA19001	NA19001
NA19006	NA19006
NA19012	NA19012
NA19024	NA19024
NA19030	NA19030
NA19038	NA19038
NA19055	NA19055
NA19060	NA19060
NA19066	NA19066
NA19074	NA19074
NA19079	NA19079
NA19084	NA19084
NA19089	NA19089
NA19095	NA19095
NA19107	NA19107
NA19117	NA19117
NA19130	NA19130
NA19143	NA19143
NA19152	NA19152
NA19172	NA19172
NA19190	NA19190
NA19204	NA19204
NA19213	NA19213
NA19235	NA19235
NA19248	NA19248
NA19309	NA19309
NA19316	NA19316
NA19321	NA19321
NA19331	NA19331
NA19347	NA19347
NA19372	NA19372
NA19378	NA19378
NA19385	NA19385
NA19395	NA19395
NA19404	NA19404
NA19434	NA19434
NA19439	NA19439
NA19448	NA19448
NA19455	NA19455
NA19463	NA19463
NA19472	NA19472
NA19648	NA19648
NA19655	NA19655
NA19664	NA19664
NA19679	NA19679
NA19701	NA19701
NA19712	NA19712
NA19720	NA19720
NA19728	NA19728
NA19735	NA19735
NA19749	NA19749
NA19758	NA19758
NA19770	NA19770
NA19777	NA19777
NA19785	NA19785
NA19794	NA19794
NA19835	NA19835
NA19909	NA19909
NA19920	NA19920
NA19984	NA19984
NA20278	NA20278
NA20291	NA20291
NA20314	NA20314
NA20332	NA20332
NA20346	NA20346
NA20357	NA20357
NA20503	NA20503
NA20508	NA20508
NA20513	NA20513
NA20518	NA20518
NA20524	NA20524
NA20530	NA20530
NA20535	NA20535
NA20541	NA20541
NA20582	NA20582
NA20589	NA20589
NA20756	NA20756
NA20761	NA20761
NA20766	NA20766
NA20771	NA20771
NA20778	NA20778
NA20790	NA20790
NA20798	NA20798
NA20803	NA20803
NA20808	NA20808
NA20813	NA20813
NA20821	NA20821
NA20832	NA20832
NA20850	NA20850
NA20856	NA20856
NA20863	NA20863
NA20869	NA20869
NA20876	NA20876
NA20884	NA20884
NA20889	NA20889
NA20895	NA20895
NA20901	NA20901
NA20906	NA20906
NA21087	NA21087
NA21092	NA21092
NA21098	NA21098
NA21103	NA21103
NA21108	NA21108
NA21113	NA21113
NA21118	NA21118
NA21124	NA21124
NA21129	NA21129
