accno,genome_fna,genome_gff
local_GCF_004323575.1,https://raw.githubusercontent.com/nf-core/test-datasets/refs/heads/magmap/testdata/local_GCF_004323575.1.fna.gz,https://raw.githubusercontent.com/nf-core/test-datasets/refs/heads/magmap/testdata/local_GCF_004323575.1.gff.gz
local_GCA_023269755.1,https://raw.githubusercontent.com/nf-core/test-datasets/refs/heads/magmap/testdata/local_GCA_023269755.1.fna.gz,https://raw.githubusercontent.com/nf-core/test-datasets/refs/heads/magmap/testdata/local_GCA_023269755.1.gff.gz
