"Feature","HMDB","KEGG.ID","KEGGCompound","Pathway"
"glutamylcysteine","HMDB0001049","C00669","gamma-L-Glutamyl-L-cysteine","Glutathione metabolism"
"glutamylglutamate","HMDB0028818","C01425","Glutamyl-glutamic acid","Amino acid metabolism"
"glutamyllysine","HMDB0004207",NA,NA,"Amino acid metabolism"
"glutamylthreonine","HMDB0028829",NA,NA,"Not assigned"
"glutathione","HMDB0000125","C00051","Glutathione","Glutathione metabolism"
"glutathione oxidized","HMDB0003337","C00127","Glutathione disulfide","Glutathione metabolism"
"glyceraldehyde 3-phosphate","HMDB0001112","C00118","D-Glyceraldehyde<a0>3-phosphate","Glycolysis / Gluconeogenesis"
"glycerol 3-phosphate","HMDB0000126","C00093","sn-Glycerol 3-phosphate","Glycerophospholipid metabolism"
"glycerophosphocholine","HMDB0000086","C00670","sn-Glycero-3-phosphocholine","Glycerophospholipid metabolism"
"glycerophosphoethanolamine","HMDB0000114","C01233","sn-Glycero-3-phosphoethanolamine","Glycerophospholipid metabolism"
"glycerophosphoinositol","HMDB0011649","C01225","sn-Glycero-3-phospho-1-inositol","Not assigned"
"glycine","HMDB0000123","C00037","Glycine","Amino acid metabolism"
"Gly-Gly","HMDB0011733","C02037","N-Glycylglycine","Amino acid metabolism"
"GMP","HMDB0001397","C00144","GMP","Purine metabolism"
"GTP","HMDB0001273","C00044","GTP","Purine metabolism"
"guanosine","HMDB0000133","C00387","Guanosine","Purine metabolism"
"hexanoylcarnitine C6","HMDB0000756",NA,NA,"Fatty acyl carnitines"
"hexenoylcarnitine C6:1",NA,NA,NA,"Fatty acyl carnitines"
"hexosamine phosphate",NA,NA,NA,"Not assigned"
"histidine","HMDB0000177","C00135","L-Histidine","Amino acid metabolism"
"homoarginine","HMDB0000670","C01924","L-Homoarginine","Arginine and proline metabolism"
"hypotaurine","HMDB0000965","C00519","Hypotaurine","Not assigned"
"hypoxanthine","HMDB0000157","C00262","Hypoxanthine","Purine metabolism"
"IMP","HMDB0000175","C00130","IMP","Purine metabolism"
"indole","HMDB0000738","C00463","Indole","Not assigned"
"indole-3-lactate","HMDB0000671","C02043","Indolelactate","Not assigned"
"inosine","HMDB0000195","C00294","Inosine","Purine metabolism"
"isoleucine","HMDB0000172","C00407","L-Isoleucine","Valine, leucine and isoleucine biosynthesis"
"isovalerylcarnitine","HMDB0000688","C20826","Isovalerylcarnitine","Fatty acyl carnitines"
"KMV",NA,NA,NA,"Valine, leucine and isoleucine biosynthesis"
"lactate","HMDB0000190","C00186","(S)-Lactate","Glycolysis / Gluconeogenesis"
"leucine","HMDB0000687","C00123","L-Leucine","Valine, leucine and isoleucine biosynthesis"
"lysine","HMDB0000182","C00047","L-Lysine","Amino acid metabolism"
"malate","HMDB0000156","C00149","(S)-Malate","Citrate cycle (TCA cycle)"
"malonate","HMDB0000691","C00383","Malonate","Pyrimidine metabolism"
"malonylcarnitine C3-DC","HMDB0002095",NA,NA,"Fatty acyl carnitines"
"mesaconate","HMDB0000749","C01732","Mesaconate","Citrate cycle (TCA cycle)"
"methionine","HMDB0000696","C00073","L-Methionine","Amino acid metabolism"
"methionine sulfoxide","HMDB0002005","C02989","L-Methionine<a0>S-oxide","Cysteine and methionine metabolism"
"methylhistidine","HMDB0000001","C01152","N(pi)-Methyl-L-histidine","Amino acid metabolism"
"methylindole","HMDB0000466","C08313","Skatole","Not assigned"
"methylmalonylcarnitine C3-DC-M/succinylcarnitine C4-DC",NA,NA,NA,"Fatty acyl carnitines"
"mevalonic acid 5-pyrophosphate",NA,NA,NA,"Not assigned"
"myo-inositol","HMDB0000211","C00137","myo-Inositol","Not assigned"
"N-acetylalanine","HMDB0000766",NA,NA,"Amino acid metabolism"
"N-acetylarginine","HMDB0004620",NA,NA,"Amino acid metabolism"
"N-acetylaspartate","HMDB0000812","C01042","N-Acetyl-L-aspartate","Alanine, aspartate and glutamate metabolism"
"N-acetylaspartylglutamate","HMDB0001067","C12270","N-Acetylaspartylglutamate","Alanine, aspartate and glutamate metabolism"
"N-acetylglutamate","HMDB0001138","C00624","N-Acetyl-L-glutamate","Amino acid metabolism"
"N-acetylglutamine","HMDB0006029",NA,NA,"Amino acid metabolism"
"N-acetylhexosamine phosphate",NA,NA,NA,"Not assigned"
"N-acetylhistidine","HMDB0032055","C02997","N-Acetyl-L-histidine","Amino acid metabolism"
"N-acetylmethionine","HMDB0011745","C02712","N-Acetylmethionine","Amino acid metabolism"
"N-acetylneuramic acid","HMDB0000230","C19910","N-Acetyl-beta-neuraminate","Not assigned"
"N-acetylornithine",NA,NA,NA,"Amino acid metabolism"
"N-acetylserine","HMDB0002931",NA,NA,"Amino acid metabolism"
"NAD","HMDB0000902","C00003","NAD+","Oxidative phosphorylation"
"NADH","HMDB0001487","C00004","NADH","Oxidative phosphorylation"
"NADP","HMDB0304435","C00006","NADP+","Glutathione metabolism"
"NADPH","HMDB0000221","C00005","NADPH","Glutathione metabolism"
"N-carbamoylaspartate","HMDB0000828","C00438","N-Carbamoyl-L-aspartate","Pyrimidine metabolism"
"ophthalmate","HMDB0005765","C21016","Ophthalmate","Cysteine and methionine metabolism"
"ornithine","HMDB0000214","C00077","L-Ornithine","Amino acid metabolism"
"orotate","HMDB0000226","C00295","Orotate","Pyrimidine metabolism"
"orotidine","HMDB0000218","C01103","Orotidine 5'-phosphate","Pyrimidine metabolism"
"pantothenate","HMDB0000210","C00864","Pantothenate","Vitamin digestion and absorption"
"pentose phosphates",NA,NA,NA,"Not assigned"
"phenylalanine","HMDB0000159","C00079","L-Phenylalanine","Amino acid metabolism"
"phosphocreatine","HMDB0001511","C02305","Phosphocreatine","Arginine and proline metabolism"
"phosphoenolpyruvate","HMDB0000263","C00074","Phosphoenolpyruvate","Citrate cycle (TCA cycle)"
"phosphoethanolamine","HMDB0000224","C00346","Ethanolamine phosphate","Glycerophospholipid metabolism"
"phosphorylcholine","HMDB0001565","C00588","Choline phosphate","Glycerophospholipid metabolism"
"proline","HMDB0000162","C00148","L-Proline","Amino acid metabolism"
